data_id,xo,yo,thetao,vxo,vyo,omegao,xg1,xg2,vxg1,vxg2
5,6.088935001616721,2.085201582357198,0.04356701420972912,0.8179462670670236,0.7514566040947372,0.39286942983033646,1.2081902424651314,3.857239623005551,3.363011718477068,1.3836635048618797
6,6.187236775736579,2.1712758280861655,0.08978906489272412,1.166216626093148,0.9767778910783895,0.5381376740994906,1.481182226074486,4.015717468224407,1.993885141406847,1.800004000544237
7,6.32612941760021,2.280168822464758,0.15223775354769883,1.5830470060939088,1.1667543197751737,0.6957696588459038,1.595915293051662,4.217302440844384,0.47648895502589916,2.173234634840729
8,6.499079904444838,2.397549737084281,0.22622950186326807,1.8207181866422655,1.1495647514494098,0.7609057703831511,1.6157827276435577,4.439045449428635,0.20465756939330715,2.192905112691566
9,6.682339655059987,2.503049525490802,0.3010541721912349,1.8100326770190003,0.9605023956047674,0.7242824473679558,1.6894231597548979,4.6459810126602115,1.4026521077875513,1.925781415853111
10,6.858370861252418,2.5881155733446,0.37022987152643594,1.722497971300236,0.7656740855154314,0.6663644461852988,1.9155723690428759,4.823026990701274,2.992831987831571,1.6438375619977628
11,7.032810756112598,2.658064857072401,0.4367198564962777,1.8041324732836994,0.6650524814626381,0.6794101041526573,2.2582548251343377,4.981186415506383,3.5882645241624096,1.5556814373817518
12,7.229448159719054,2.7215062260111518,0.5097364262516338,2.151509645961933,0.6191609497866897,0.7912734224337579,2.5808330001683037,5.141765159825769,2.679392982473497,1.6634217449964717
13,7.4699830028644945,2.778420878676715,0.5970576510073407,2.6423849903540697,0.5144637427610996,0.9517821521757509,2.7628760574909883,5.315779281131975,1.0153346922192514,1.7870439902328403
14,7.757606628670606,2.8179766248018296,0.6995265834240388,3.063839112269149,0.278695664400155,1.087676587387653,2.7978686586246866,5.49449839106441,-0.0784340065440973,1.7329119061908909
15,8.078300255697453,2.827378659621455,0.8128189302617814,3.3118722652718695,-0.07453201727857538,1.1712296629792454,2.791803974737872,5.655365749729913,0.17408929947791152,1.435692406769087
16,8.417432477989948,2.7976707291225664,0.9330689224167491,3.4589925739060554,-0.4987599049189597,1.2354733122507147,2.867989652883486,5.773286977866179,1.3621737537751817,0.8694854450170011
17,8.769683246613628,2.7222578992304247,1.0602148498569435,3.563526808402076,-1.00354542231786,1.305090886386767,3.055410342138583,5.8160901474578015,2.159639196714693,0.29284746194600075
18,9.129390321028414,2.594387392390728,1.1950522164528659,3.6241006609569313,-1.5647247613361905,1.389982947895189,3.259119809614743,5.961796012514379,1.8409244847939292,2.6115621738667674
19,9.49382852275088,2.4042670334618923,1.340147588173724,3.653172661976172,-2.238155080140133,1.5103133755278124,3.442374565499144,6.327956589162716,2.0608872053633274,4.391599453297364
