num_traj,data_id,shortest_distance,S_stick,S_engage
0,0,0.048478835090098274,0.0,0.0
0,1,5.893561218842751e-05,0.0,0.0
0,2,2.2313221650792868e-05,0.7897064227080178,3.8350564166811667
0,3,0.00017984271652132254,0.0,0.0
0,4,8.32915584603479e-05,0.0,0.0
0,5,9.500796075260647e-05,0.0,0.0
0,6,0.1028511259118894,0.0,0.0
0,7,0.2653601031649252,0.0,0.0
0,8,0.3662397669344798,0.0,0.0
0,9,0.41730106194846367,0.0,0.0
1,0,0.06847285562762981,0.0,0.0
1,1,1.080116353451287e-05,0.0,0.0
1,2,1.3823206564665791e-05,0.051022723606304506,0.27005053060911555
1,3,8.158968168797161e-06,0.7173983368141732,4.274022993078393
1,4,0.0003151535811390536,0.0,0.0
1,5,0.00011168693771753398,0.0,0.0
1,6,0.1585347834606538,0.0,0.0
1,7,0.3096408430167221,0.0,0.0
1,8,0.4211197255950439,0.0,0.0
1,9,0.49529645577713327,0.0,0.0
2,0,0.08292932465720212,0.0,0.0
2,1,9.876856896322828e-06,0.18262125299655013,0.9898658912919981
2,2,9.4586390332926e-06,0.17359951333758297,1.087854214142206
2,3,0.0001293099344003262,0.0,0.0
2,4,4.4382357682815e-06,0.09859170982775707,0.6122578556652365
2,5,0.0025028472666755643,4.382781097733003,27.470343854783465
2,6,0.1613629312786949,0.0,0.0
2,7,0.5830552344885349,0.0,0.0
2,8,0.983402840673362,0.0,0.0
2,9,1.343070568273743,0.0,0.0
3,0,0.07998161578136077,0.0,0.0
3,1,2.0865408441570615e-05,0.8969082688819278,3.251486385452787
3,2,1.175944560700375e-05,0.31868870886205525,1.4617632569465435
3,3,7.309346871690688e-07,0.150554069308162,0.692897599503792
3,4,0.00023499955288930314,0.0,0.0
3,5,0.010636840702394294,0.0,0.0
3,6,0.20087054725149717,0.0,0.0
3,7,0.2458117675619675,0.0,0.0
3,8,0.24595803341225775,0.0,0.0
3,9,0.24595325092123332,0.0,0.0
4,0,0.0617362688772072,0.0,0.0
4,1,1.777768733708444e-05,0.0,0.0
4,2,3.1569649320188277e-06,0.0,0.0
4,3,9.55151604155418e-06,0.6282520745690869,3.4859511293884458
4,4,7.5063756617249725e-06,0.3288503645503592,1.9963035525959418
4,5,0.0023798815804964785,3.66917141384119,22.272950148069448
4,6,8.315076828768248e-05,2.619828151969368,15.903250647172054
4,7,0.05401777222156263,0.0,0.0
4,8,0.15249591239846816,0.0,0.0
4,9,0.24375170069961385,0.0,0.0
5,0,0.03799920208570674,0.0,0.0
5,1,1.0770194666379562e-05,0.12047967784800288,0.5511764959123161
5,2,1.701977772981103e-05,0.6806503231330864,2.2872186844603606
5,3,1.4476176490361683e-05,0.5649815113627038,2.501730337731217
5,4,8.200290759136095e-06,0.32252344009142986,1.4804672514781503
5,5,0.0022267294952942134,3.1108561539958632,14.27967019865428
5,6,2.863706419200044e-05,3.5938518670643376,12.552474774568543
5,7,4.352132693146884e-05,2.3289997537265426,7.198658450275402
5,8,4.4721017566599347e-05,1.843072987189536,6.0826875382613865
5,9,4.538286969912898e-05,1.319026846235915,4.521152331483536
6,0,0.06077619335349506,2.7217128243110658,8.745999364088647
6,1,1.1597206762224349e-05,1.257172898741955,4.408291580350649
6,2,7.933609651512399e-05,0.0,0.0
6,3,1.1850623147435794e-05,0.44115688598597597,1.9900028360384685
6,4,5.608311664205777e-06,0.4042765582936922,1.8432175804762627
6,5,0.0012342937841452837,4.613686407711755,13.491247894194851
6,6,8.563734581906221e-05,3.2540048455823753,9.89767460344353
6,7,9.557117305849661e-05,3.2290671059703655,9.55845978316652
6,8,9.672153819195694e-05,2.60144147161697,8.851793424703935
6,9,9.940320481259975e-05,2.9615714826815265,9.3697352407525
7,0,0.06548694958062913,2.984096597980016,9.397057389285617
7,1,2.048854407150441e-05,0.10230093246340914,0.43986779564356887
7,2,1.7092025222898916e-05,2.0956683053795557,6.085071797118864
7,3,4.6542202345142445e-06,0.11397557507697785,0.5188001301604965
7,4,2.9545426243247437e-05,0.0,0.0
7,5,0.01691716254692968,0.0,0.0
7,6,0.12927915029165177,0.0,0.0
7,7,0.12925128268287078,0.0,0.0
7,8,0.12924778755499886,0.0,0.0
7,9,0.12924379335561095,0.0,0.0
8,0,0.10419382176529365,0.0,0.0
8,1,9.990240122838885e-06,0.7249819356124547,3.4559190715900314
8,2,7.348965796585506e-05,0.0,0.0
8,3,1.2662819293747865e-06,0.32544376587109286,1.5580122530813787
8,4,2.331315317881042e-05,0.1609471042744701,0.7773684768796715
8,5,2.072574847008792e-05,0.0,0.0
8,6,0.11691739637991377,0.0,0.0
8,7,0.18872805286696098,0.0,0.0
8,8,0.19621396231851837,0.0,0.0
8,9,0.196216784570906,0.0,0.0
9,0,0.058333605894204665,0.0,0.0
9,1,1.383170081542863e-05,0.21587653436500398,0.9047330679815284
9,2,0.00013522498652201415,0.0,0.0
9,3,1.0737046874081364e-05,0.21734535854269638,1.0894455542685966
9,4,9.640177217471649e-06,0.20950665281758554,1.0492934417472286
9,5,0.0018437319346458285,2.0255577106632447,8.712120740971418
9,6,2.112394797993628e-05,2.8695012814144802,11.136998139675946
9,7,9.99675624696994e-06,2.643961530258094,9.465962012227457
9,8,9.993249417415514e-06,2.4535830190068006,9.0561878597689
9,9,9.903949849832238e-06,2.9374605597032315,10.401053078757446
