data_id,y,z,x,thetax,thetay,thetaz,vx,vy,vz,omegax,omegay,omegaz,j0,j1,j2,j3,jv0,jv1,jv2,jv3,zg,vzg
4,-0.0004687127117963906,4.475270171853597,-3.716115260398554e-05,0.0,1.5707963267948966,0.0010890719825592788,1.5419406557725666e-05,-0.010176900068066768,-0.09839539858288511,-0.020428664854210795,-1.9165416641681947e-05,-2.7276243319636765e-05,-0.18134111775999626,0.26657490900230735,0.018012798794595036,-0.10577174984276015,-0.32478773731896715,0.2613812246766616,0.5591510297427972,-0.5042637161003448,5.17544404712038,-0.09480624419280961
5,-0.022744943371092074,4.419479950517631,-3.705915222828729e-05,-1.570795783817785,1.5255366401682562,-1.5707644723054037,2.774384273057467e-06,-0.1087815309407466,-0.19232123077896382,-0.21442670215678422,-6.2963779217282055e-06,6.309384653793474e-06,-0.2038373934394884,0.21550858288785893,0.36112569210670165,-0.2989851335420757,0.18901122394816577,-0.40871551289671365,1.034609950109973,-0.4272751713360074,5.126875866082524,-0.15963645507768942
6,-0.05420329673196048,4.343628803577303,-3.4447508593418666e-05,-1.5707741672479643,1.4641106841612574,-1.57073580476026,-3.2521472187975456e-05,-0.01767412280809216,-0.20088883425099838,-0.033335973992586906,-1.5502915294573927e-05,0.000329454725761504,-0.2322408428153106,0.2627129403285656,0.5405625725966626,-0.3686135855074131,-0.6844909923894976,1.174054608700165,-0.42377121287922426,0.19333087638692467,5.059408459953624,-0.19686622415880822
7,-0.07770081349818711,4.260200984355935,-3.2569141037190064e-05,-1.5707847988163253,1.4189951904299027,-1.5706538380537651,2.089585786002708e-05,-0.11902304169709574,-0.23925759150224016,-0.2284704768214716,-4.377021064568252e-05,5.096499066177723e-05,-0.36814283726123886,0.5229830812189983,0.4846598774325269,-0.28309179061002254,0.2398389645360381,-0.48177651684279016,0.943222699332078,-0.20229053967197036,4.980903375113629,-0.21694565374543362
8,-0.12669163031597275,4.169041377383086,-1.1131430919106203e-05,-1.5707964592038606,1.3268637668597454,-1.5706666289388964,8.98315340135078e-05,-0.1550137927211373,-0.24327699639475356,-0.30813646660517513,-0.00013004827784993158,-0.0006777574100969677,-0.3532249684135606,0.5636547224437501,0.5703373815525223,-0.18003064853905676,0.07486104003696878,0.23551920557334288,-0.05109077639116651,0.5919731159725223,4.896518842338469,-0.23062250444356241
9,-0.21638092022474384,4.084598668606584,4.369588283408395e-06,-1.5707964178893596,1.1562689069930894,-1.5706392617830371,6.363525905545972e-05,-0.3376525788842701,-0.19780681207697998,-0.721739271744809,-0.00010718593860145521,-4.0193600262491656e-05,-0.1832249253699699,0.5320256529382424,0.4281007324170246,0.4400292158044096,1.09666831800915,-0.4570407949352865,-0.5976097322059217,2.1231346948919625,4.812729968174373,-0.2264227983103675
10,-0.37548445474164865,3.9863368407725446,3.2089206457776186e-05,-1.5707985504920803,0.7081215797993077,-1.5706548415302028,-0.00021332210634246744,-0.49513650952085614,-0.34113193773545847,-1.0081983277213789,-0.000247146771267864,0.00015486006316421617,0.560367856290082,0.10260357547571865,0.5078380376123758,0.5682446630189975,1.48045442990962,-0.3318685868601339,-0.6825242145581899,1.0226006535582088,4.726059464531266,-0.23528134586939944
11,-0.5308976059896691,3.929857441356051,0.0004066451316764574,-1.5712108146451724,0.9854112008968766,-1.5709289387029797,0.0005209517607256047,-0.20678563418543738,-0.36512279758280497,-0.373942193940843,-0.005126906803992678,-0.012594595946489104,-0.03116968952079561,0.5697497237928163,0.4266422179309103,0.5051477158752122,0.16246018221431693,-0.057378416523053276,0.9892593857192217,-1.0189185932465092,4.63639183313646,-0.24009321396669958
12,-0.6275059621432366,3.802083616897229,0.0028303944416637745,-1.5705811039432556,0.7163455924826221,-1.5754278802075175,0.02177553741509992,-0.32317723296997924,-0.32157851552176026,-0.984794626262914,0.010646156643465271,-0.020660523533557608,0.24130005976700378,0.5532770554616605,0.5700090288047793,0.3502605016015627,1.2150036410001996,-0.15523685214205996,-0.0006221308309570566,-0.008090101748264958,4.544699433486943,-0.24863732517025505
13,-0.7690882438053961,3.697982633987492,0.005348974706661016,-1.5706411044450352,0.456909551041658,-1.5800134929653744,-0.002064533506556337,-0.3634769385441493,-0.1604540303203631,0.14182488895938117,-0.004259001721268933,-0.006228398920017322,0.550410933673047,0.5459864957378708,0.5403191024239877,0.36697014471605394,-0.5112538237664364,0.7450876730415752,-0.42684438973871563,0.147010930785496,4.450064225103135,-0.25582069754654124
14,-0.9331557874083352,3.698245666532509,0.006950379073351533,-1.5710217896382788,0.5695650469959301,-1.583772503700495,-0.005719783981923875,-0.4893908222219726,0.12866968717210542,0.5884662478839605,-0.01043924519834231,-0.004330413744368453,0.4194427089614255,0.5700039444877703,0.5700054704368578,0.36224368177245864,-0.5978266456342973,2.8057683962146867e-05,-0.0003111496724599008,0.1765641633624368,4.352830927655901,-0.2627236331528962
15,-1.057690780158647,3.659819246668633,0.006596638258132471,-1.5707962226286847,0.5017887701680118,-1.584938059506974,0.0009310755996817178,-0.26263301061391653,-0.16811274024828396,-0.2791655412257799,0.003942079551643817,-0.006961180826731823,0.5354354587958652,0.504591842362535,0.568992117497963,0.44176862876583994,0.33848802063961675,-0.0771513456812948,-0.021076155121611442,0.1689356974913279,4.253733827650346,-0.2666941450556653
16,-1.126525222781465,3.5827958320738613,0.00674485582884699,-1.5707963350581748,0.43665431631398743,-1.587828345841854,-0.00017202969330406642,-0.13566231229256054,-0.21339660426635887,-0.15253981553482432,0.0026176797102668813,-0.008955538814026574,0.5508376425670455,0.5699469958896746,0.558266941170407,0.4630167956334518,0.03866330045734849,-0.011260747380439572,0.3292649219673827,-0.23831801301563657,4.152820447775747,-0.27147544801336077
17,-1.1552550299669457,3.5011102953050117,0.006387687027859219,-1.570796318504278,0.3840640864419737,-1.5890018635440195,-0.0008638583554829841,-0.03437349085556978,-0.23534953797786348,-0.09570691520083217,0.001742440470875277,-0.0006009210999185197,0.5658787365646603,0.5700016210064714,0.5700027079258743,0.5510897434931319,-0.0259279436686974,-7.837425809822018e-05,6.132715827676136e-05,0.34166940354801145,4.050697282898346,-0.2734408937428754
18,-1.1606728881880548,3.48104068345807,0.006356879494268321,-1.5707897658436385,0.37123418952763027,-1.5892553374900027,0.0004634994337165203,0.028318100783769118,0.1701367087482998,0.08248498094674633,-0.0010948187005601236,1.959973191471172e-05,0.5701732827961774,0.5724925206276635,0.5701234663570806,0.571562862040934,-0.007337710381727678,-0.09869305688281313,-0.004949129942649131,-0.06214255838645929,4.025498825184194,0.2026011320322616
19,-1.1447333595221312,3.5387001158998395,0.006651843718965104,-1.5707962032019447,0.41635740140097593,-1.5892600558191083,0.0008234001166593637,0.04452128574338054,0.15184599741827778,0.12297593909141723,-0.0022708747323837647,2.757687369068361e-06,0.528264015674427,0.5700016978823611,0.5700029246364106,0.5264456066937624,-0.1188022940634413,-8.39826753477264e-05,0.00011124221251088652,-0.12691190350893924,4.100955450526342,0.19939226425452455
0,-4.358603489948286e-07,4.546187966158662,-9.111036104119506e-08,0.0,1.5707963267948966,8.917303275443295e-07,-2.1866486649886815e-05,-0.00010460648375875886,-0.914888121921121,-0.00021257012472603173,3.931701705888143e-05,1.445171414695214e-06,1.9761732879161813e-06,-1.35339329565995e-06,3.271107412169366e-07,-8.310633754021175e-08,0.0004742815890998836,-0.000324814390958388,7.850657789206478e-05,-1.994552100965082e-05,5.200187129469845,0.04491107276272271
1,4.2642070332390054e-05,4.503514257293322,-3.968814331538095e-05,0.0,1.5707963267948966,2.0798843768925064e-05,6.784771827307326e-07,6.146729729129323e-06,-0.025563999170039535,5.919726607617629e-09,7.30147045149965e-07,4.0966309322402125e-06,-4.506912766617871e-05,6.834941492085313e-05,-0.00014816683453334768,0.0002261293696749139,4.3903162836942446e-05,-9.564651943165682e-05,-0.00019836837756210632,0.00042516718740391623,5.203503267144843,-0.02556510847183587
2,4.503566299116011e-05,4.499978531099266,-4.067362512923768e-05,0.0,1.5707963267948966,2.315086384649028e-05,-7.582759205379924e-06,1.413864103581023e-05,4.7529585579343845e-06,-5.65719123622263e-06,2.1601409022582448e-05,1.1309739909616727e-05,-0.0006052093744997872,0.0019179481772685282,-0.002075439861112983,0.0007575148571083438,-0.0065231951226071665,0.020529747970856712,-0.021453773467797043,0.007418155162482362,5.199964376816467,-2.1537728320170958e-05
3,6.91515466371437e-05,4.4978809322315065,-3.979062996110357e-05,0.0,1.5707963267948966,8.143525754768533e-06,-4.916805840937895e-06,2.0815869456629126e-05,-0.024287522180368535,0.00011114140723855216,-8.767501283693726e-07,-2.2895629240469016e-05,-0.04881933563835235,0.09138752288873012,-0.03648090961776637,-0.0061199143548369694,-0.30153587446517804,0.5232320207286536,-0.14241865314781488,-0.07922358463700295,5.197868186484799,-0.024273270830345285
